Player,Team,Conf,G,Cmp,Pass_Att,Cmp_Pct,Pass_Yds,Pass_TD,Int,Pass_Y/A,AY/A,PR,Year,School,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec,Rec_Yds,Y/R,Rec_TD,Plays,Tot_Yds,Y/P,Tot_TD
Casey Cochran,Connecticut,American,1,17.0,31.0,54.8,171.0,0.0,1.0,5.5,4.06,94.7,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Rubenzer,California,Pac-12,11,12.0,21.0,57.1,166.0,2.0,3.0,7.9,3.38,126.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Hankerson,Florida Atlantic,CUSA,8,23.0,48.0,47.9,163.0,1.0,0.0,3.4,3.81,83.3,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Lindquist,Washington,Pac-12,13,10.0,30.0,33.3,162.0,1.0,0.0,5.4,6.07,89.7,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neal Burcham,SMU,American,2,27.0,48.0,56.3,158.0,0.0,2.0,3.3,1.42,75.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Callaway,Bowling Green,MAC,6,12.0,26.0,46.2,153.0,1.0,1.0,5.9,4.92,100.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Scroggins,Arizona,Pac-12,4,7.0,18.0,38.9,152.0,1.0,1.0,8.4,7.06,117.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Macon,Toledo,MAC,12,9.0,14.0,64.3,150.0,1.0,0.0,10.7,12.14,177.9,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Bawden,San Diego State,MWC,6,13.0,38.0,34.2,147.0,1.0,2.0,3.9,2.03,64.9,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Joeckel,Texas Christian,Big 12,5,12.0,21.0,57.1,134.0,2.0,1.0,6.4,6.14,132.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Graham,Hawaii,MWC,2,12.0,22.0,54.5,133.0,1.0,1.0,6.0,4.91,111.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt McIntosh,Northern Illinois,MAC,10,14.0,23.0,60.9,122.0,1.0,0.0,5.3,6.17,119.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Bailey,Illinois,Big Ten,5,11.0,22.0,50.0,118.0,1.0,1.0,5.4,4.23,101.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincent Testaverde,Texas Tech,Big 12,1,15.0,26.0,57.7,116.0,0.0,1.0,4.5,2.73,87.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Gautsche,New Mexico,MWC,6,12.0,26.0,46.2,105.0,0.0,0.0,4.0,4.04,80.1,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Strock,Kent State,MAC,7,16.0,40.0,40.0,104.0,2.0,1.0,2.6,2.48,73.3,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Higgins,Hawaii,MWC,2,7.0,23.0,30.4,103.0,0.0,0.0,4.5,4.48,68.1,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronald Butler,Utah State,MWC,14,2.0,5.0,40.0,88.0,2.0,1.0,17.6,16.6,279.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Colosimo,Cincinnati,American,3,5.0,13.0,38.5,78.0,1.0,0.0,6.0,7.54,114.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Sherry,Nevada-Las Vegas,MWC,4,9.0,29.0,31.0,78.0,0.0,2.0,2.7,-0.41,39.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Reilly,Temple,American,11,10.0,19.0,52.6,77.0,0.0,1.0,4.1,1.68,76.1,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Leal,Virginia Tech,ACC,3,6.0,9.0,66.7,77.0,1.0,0.0,8.6,10.78,175.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Calcagni,Tulsa,American,4,7.0,17.0,41.2,74.0,0.0,1.0,4.4,1.71,66.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Ravizza,San Jose State,MWC,2,14.0,23.0,60.9,61.0,0.0,0.0,2.7,2.65,83.1,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Crook,Penn State,Big Ten,1,6.0,9.0,66.7,57.0,1.0,0.0,6.3,8.56,156.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Porter,Texas Christian,Big 12,13,1.0,2.0,50.0,55.0,1.0,0.0,27.5,37.5,446.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Lee,Baylor,Big 12,13,1.0,1.0,100.0,53.0,1.0,0.0,53.0,73.0,875.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian McDonald,Massachusetts,MAC,12,1.0,1.0,100.0,53.0,1.0,0.0,53.0,73.0,875.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Heaps,Miami (FL),ACC,6,6.0,12.0,50.0,51.0,0.0,0.0,4.3,4.25,85.7,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clayton Mitchem,New Mexico,MWC,5,4.0,9.0,44.4,51.0,0.0,1.0,5.7,0.67,69.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles Gooch,Virginia,ACC,8,2.0,2.0,100.0,51.0,0.0,0.0,25.5,25.5,314.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Todd Gurley,Georgia,SEC,6,1.0,1.0,100.0,50.0,0.0,0.0,50.0,50.0,520.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Thornton,Wyoming,MWC,4,4.0,10.0,40.0,50.0,0.0,1.0,5.0,0.5,62.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlin Lane Jr.,Tennessee,SEC,12,1.0,1.0,100.0,49.0,1.0,0.0,49.0,69.0,841.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reese Phillips,Kentucky,SEC,3,2.0,9.0,22.2,45.0,0.0,1.0,5.0,0.0,42.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Watford,Virginia,ACC,5,3.0,4.0,75.0,45.0,0.0,0.0,11.3,11.25,169.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrence Magee,LSU,SEC,13,1.0,1.0,100.0,44.0,0.0,0.0,44.0,44.0,469.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colton Huntsman,Air Force,MWC,9,1.0,2.0,50.0,41.0,0.0,0.0,20.5,20.5,222.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
